Please state the name of the partner:,What sector does your partner belong to?,Please provide a brief description of the partnership.,Is this a new and unusual partner for UNDP?,iso3,country
Taka ni Ajira foundation,Government (&amp;related),"In the project, the Taka Ni Ajira Foundation played a pivotal role in empowering waste pickers and advocating for their rights, while the Tanga City Council was instrumental in providing the necessary infrastructure and policy support for effective waste management.

",Yes,TZA,Tanzania
"UNICEF, State University of Zanzibar, Ministry of Blue Economy Zanzibar, Zanzibar Ministry of Health and the Zanzibar City Council.",Government (&amp;related),"UNICEF: Provided expertise in child and community welfare, ensuring that project outcomes supported the health and development needs of children and families in Zanzibar.

State University of Zanzibar: Acted as an academic and research hub, contributing expertise in local knowledge, data analysis, and the development of sustainable solutions tailored to the Zanzibar context.

Ministry of Blue Economy Zanzibar: Focused on integrating the project's goals with the broader objectives of preserving and sustainably utilizing marine and coastal resources in Zanzibar.

Zanzibar Ministry of Health: Ensured that public health considerations were central to the project, particularly in areas related to sanitation and environmental health.

Zanzibar City Council: Played a key role in the implementation of the project on the ground, coordinating local government resources and services to support the project’s objectives.",Yes,TZA,Tanzania
Sistema B Ecuador,Private Sector,"Sistema B Ecuador realizó un foro en conjunto con el LAB de Aceleración sobre la ""Sostenibilidad Violeta"" para hablar sobre las mejores prácticas de género de sus empresas socias (Grupo Entregas y CUSI) y continuará su apoyo para eventos durante el 2024. 

Por otra parte, será uno de nuestros aliados de difusión para llegar al sector privado.  ",Yes,ECU,Ecuador
"National Agency of Waste, Wilaya of Ghardaia,",Government (&amp;related),"National agency of waste, Under the supervision of the Ministry of Environment and Renewable Energies, it is tasked, as part of a public service mission, with informing and popularizing techniques for sorting, collecting, transporting, treating, recovering, and disposing of waste. Its responsibility includes building and maintaining a documentary base on waste management and ensuring its dissemination to local authorities and the business. UNDP support the national agency of waste to implement the second edition go the green entrepreneurship week with a technical and financing support where both the university and the wilaya of Ghardaia collaborate to this event by facilitating the administrative and logistics aspects. 

",No,DZA,Algeria
Kampala Capital City Authority (KCCA),Government (&amp;related),KCCA is mandated to offer decent settlements to the residents of Kampala and they help us in identifying proper ways of waste management in such a crowded community.,No,UGA,Uganda
Ministry of Information Communication and Technology and National Guidance,Government (&amp;related),"We were invited by the Ministry of Information and Communications Technology and National Guidance was to facilitate the process of designing the Digital Transforamtion  Roadmap for the country. The Ministry trusted the Accelerator Lab methodologies that facilitated the scanning of the entire digital landscape of the country, identified the gaps, and together designed a roadmap that was well aligned with the Digital Uganda Vision and the National Development frameworks. The Ministry of ICT and National Guidance was established in June 2006 with a mandate of providing strategic and technical leadership, overall coordination, support and advocacy on all matters of policy, laws, regulations and strategy for the ICT sector. After the process, we handed over for effective implementation.",No,UGA,Uganda
"Banks: Itau Bank, Santander Bank, BROU Bank",Private Sector,Impact Investors for the Social impact bond ,Yes,URY,Uruguay
Scout Aerial,Private Sector,They provided drone data collection and processing services to the project ,Yes,ZWE,Zimbabwe
Ministry of Industrialisation and Trade,Government (&amp;related),"Cross Lab learning tranfer

",Yes,NAM,Namibia
Central Bank of Eswatini,Government (&amp;related),"Since the AFA is a single point integration solution that seeks  to avail supply chain financing for the horticulture value chain, it was key to establish partnership across the value chain from production ( horticulture farmers), extension services, government (Ministry of Agriculture) logistics, cold storage, off-takers and financial institutions (bank and non-bank). The concept of single point integration requires all these key actors to act as one through the platform. This then describes the full spectrum of the partnership

",No,SWZ,Eswatini
Commonwealth Local Government Forum (CLGF),Government (&amp;related),"The Commonwealth Local Government Forum (CLGF) is a large international network that promotes and strengthens democratic local government to support sustainable development across the Commonwealth and provides a collective voice to advocate for greater empowerment at the local level.

 Through this collaboration, UNDP Ghana, through the Accelerator Lab, worked with CLGF and NALAG to engage development planners and decision makers in ten selected municipalities and metropolises for a 3-day innovation bootcamp.

",Yes,GHA,Ghana
Njala University,Academia,"Signed MOU between universities and undp for the setting up of a fab lab. 

",Yes,SLE,Sierra Leone
